datetime,epoch_ms,ts_millis,sensor,temperature_c,pressure_hpa,altitude_m
2026-05-22 16:44:25.723,1351805179,7723,BME280,27.35,1005.65,63.451
2026-05-22 16:44:26.923,1351806379,7923,BME280,27.35,1005.65,63.451
2026-05-22 16:44:26.123,1351805579,8123,BME280,27.35,1005.65,63.451
2026-05-22 16:44:26.323,1351805779,8323,BME280,27.36,1005.64,63.539
2026-05-22 16:44:26.523,1351805979,8523,BME280,27.36,1005.64,63.539
2026-05-22 16:44:26.723,1351806179,8723,BME280,27.36,1005.64,63.539
2026-05-22 16:44:27.923,1351807379,8923,BME280,27.36,1005.64,63.539
2026-05-22 16:44:27.123,1351806579,9123,BME280,27.36,1005.64,63.539
2026-05-22 16:44:27.323,1351806779,9323,BME280,27.36,1005.63,63.596
2026-05-22 16:44:27.523,1351806979,9523,BME280,27.36,1005.63,63.596
2026-05-22 16:44:27.723,1351807179,9723,BME280,27.36,1005.63,63.596
2026-05-22 16:44:28.923,1351808379,9923,BME280,27.36,1005.63,63.596
2026-05-22 16:44:28.123,1351807579,10123,BME280,27.36,1005.63,63.596
2026-05-22 16:44:28.323,1351807779,10323,BME280,27.36,1005.67,63.296
2026-05-22 16:44:28.523,1351807979,10523,BME280,27.36,1005.67,63.296
2026-05-22 16:44:28.723,1351808179,10723,BME280,27.36,1005.67,63.296
2026-05-22 16:44:29.923,1351809379,10923,BME280,27.36,1005.67,63.296
2026-05-22 16:44:29.123,1351808579,11123,BME280,27.36,1005.67,63.296
2026-05-22 16:44:29.323,1351808779,11323,BME280,27.36,1005.67,63.336
2026-05-22 16:44:29.523,1351808979,11523,BME280,27.36,1005.67,63.336
2026-05-22 16:44:29.723,1351809179,11723,BME280,27.36,1005.67,63.336
2026-05-22 16:44:30.923,1351810379,11923,BME280,27.36,1005.67,63.336
2026-05-22 16:44:30.123,1351809579,12123,BME280,27.36,1005.67,63.336
2026-05-22 16:44:30.323,1351809779,12323,BME280,27.36,1005.65,63.46
2026-05-22 16:44:30.523,1351809979,12523,BME280,27.36,1005.65,63.46
2026-05-22 16:44:30.723,1351810179,12723,BME280,27.36,1005.65,63.46
2026-05-22 16:44:31.923,1351811379,12923,BME280,27.36,1005.65,63.46
2026-05-22 16:44:31.123,1351810579,13123,BME280,27.36,1005.65,63.46
2026-05-22 16:44:31.323,1351810779,13323,BME280,27.36,1005.65,63.464
2026-05-22 16:44:31.523,1351810979,13523,BME280,27.36,1005.65,63.464
2026-05-22 16:44:31.723,1351811179,13723,BME280,27.36,1005.65,63.464
2026-05-22 16:44:32.923,1351812379,13923,BME280,27.36,1005.65,63.464
2026-05-22 16:44:32.123,1351811579,14123,BME280,27.36,1005.65,63.464
2026-05-22 16:44:32.323,1351811779,14323,BME280,27.36,1005.66,63.407
2026-05-22 16:44:32.523,1351811979,14523,BME280,27.36,1005.66,63.407
2026-05-22 16:44:32.723,1351812179,14723,BME280,27.36,1005.66,63.407
2026-05-22 16:44:33.923,1351813379,14923,BME280,27.36,1005.66,63.407
2026-05-22 16:44:33.123,1351812579,15123,BME280,27.36,1005.66,63.407
2026-05-22 16:44:33.323,1351812779,15323,BME280,27.36,1005.65,63.437
2026-05-22 16:44:33.523,1351812979,15523,BME280,27.36,1005.65,63.437
2026-05-22 16:44:33.723,1351813179,15723,BME280,27.36,1005.65,63.437
2026-05-22 16:44:34.923,1351814379,15923,BME280,27.36,1005.65,63.437
2026-05-22 16:44:34.123,1351813579,16123,BME280,27.36,1005.65,63.437
2026-05-22 16:44:34.323,1351813779,16323,BME280,27.36,1005.65,63.43
2026-05-22 16:44:34.523,1351813979,16523,BME280,27.36,1005.65,63.43
2026-05-22 16:44:34.723,1351814179,16723,BME280,27.36,1005.65,63.43
2026-05-22 16:44:35.923,1351815379,16923,BME280,27.36,1005.65,63.43
2026-05-22 16:44:35.123,1351814579,17123,BME280,27.36,1005.65,63.43
2026-05-22 16:44:35.323,1351814779,17323,BME280,27.36,1005.68,63.258
2026-05-22 16:44:35.523,1351814979,17523,BME280,27.36,1005.68,63.258
2026-05-22 16:44:35.723,1351815179,17723,BME280,27.36,1005.68,63.258
2026-05-22 16:44:36.923,1351816379,17923,BME280,27.36,1005.68,63.258
2026-05-22 16:44:36.123,1351815579,18123,BME280,27.36,1005.68,63.258
2026-05-22 16:44:36.323,1351815779,18323,BME280,27.36,1005.66,63.407
2026-05-22 16:44:36.523,1351815979,18523,BME280,27.36,1005.66,63.407
2026-05-22 16:44:36.723,1351816179,18723,BME280,27.36,1005.66,63.407
2026-05-22 16:44:37.923,1351817379,18923,BME280,27.36,1005.66,63.407
2026-05-22 16:44:37.123,1351816579,19123,BME280,27.36,1005.66,63.407
2026-05-22 16:44:37.323,1351816779,19323,BME280,27.36,1005.65,63.469
2026-05-22 16:44:37.523,1351816979,19523,BME280,27.36,1005.65,63.469
2026-05-22 16:44:37.723,1351817179,19723,BME280,27.36,1005.65,63.469
2026-05-22 16:44:38.923,1351818379,19923,BME280,27.36,1005.65,63.469
2026-05-22 16:44:38.123,1351817579,20123,BME280,27.36,1005.65,63.469
2026-05-22 16:44:38.323,1351817779,20323,BME280,27.35,1005.66,63.404
2026-05-22 16:44:38.523,1351817979,20523,BME280,27.35,1005.66,63.404
2026-05-22 16:44:38.723,1351818179,20723,BME280,27.35,1005.66,63.404
2026-05-22 16:44:39.923,1351819379,20923,BME280,27.35,1005.66,63.404
2026-05-22 16:44:39.123,1351818579,21123,BME280,27.35,1005.66,63.404
2026-05-22 16:44:39.323,1351818779,21323,BME280,27.35,1005.67,63.341
2026-05-22 16:44:39.523,1351818979,21523,BME280,27.35,1005.67,63.341
2026-05-22 16:44:39.723,1351819179,21723,BME280,27.35,1005.67,63.341
2026-05-22 16:44:40.923,1351820379,21923,BME280,27.35,1005.67,63.341
2026-05-22 16:44:40.123,1351819579,22123,BME280,27.35,1005.67,63.341
2026-05-22 16:44:40.323,1351819779,22323,BME280,27.36,1005.65,63.488
2026-05-22 16:44:40.523,1351819979,22523,BME280,27.36,1005.65,63.488
2026-05-22 16:44:40.723,1351820179,22723,BME280,27.36,1005.65,63.488
2026-05-22 16:44:41.923,1351821379,22923,BME280,27.36,1005.65,63.488
2026-05-22 16:44:41.123,1351820579,23123,BME280,27.36,1005.65,63.488
2026-05-22 16:44:41.323,1351820779,23323,BME280,27.36,1005.67,63.322
2026-05-22 16:44:41.523,1351820979,23523,BME280,27.36,1005.67,63.322
2026-05-22 16:44:41.723,1351821179,23723,BME280,27.36,1005.67,63.322
2026-05-22 16:44:42.923,1351822379,23923,BME280,27.36,1005.67,63.322
2026-05-22 16:44:42.123,1351821579,24123,BME280,27.36,1005.67,63.322
2026-05-22 16:44:42.323,1351821779,24323,BME280,27.36,1005.67,63.311
2026-05-22 16:44:42.523,1351821979,24523,BME280,27.36,1005.67,63.311
2026-05-22 16:44:42.723,1351822179,24723,BME280,27.36,1005.67,63.311
2026-05-22 16:44:43.923,1351823379,24923,BME280,27.36,1005.67,63.311
2026-05-22 16:44:43.123,1351822579,25123,BME280,27.36,1005.67,63.311
2026-05-22 16:44:43.323,1351822779,25323,BME280,27.36,1005.67,63.306
2026-05-22 16:44:43.523,1351822979,25523,BME280,27.36,1005.67,63.306
2026-05-22 16:44:43.723,1351823179,25723,BME280,27.36,1005.67,63.306
2026-05-22 16:44:44.923,1351824379,25923,BME280,27.36,1005.67,63.306
2026-05-22 16:44:44.123,1351823579,26123,BME280,27.36,1005.67,63.306
2026-05-22 16:44:44.323,1351823779,26323,BME280,27.37,1005.67,63.263
2026-05-22 16:44:44.523,1351823979,26523,BME280,27.37,1005.67,63.263
2026-05-22 16:44:44.723,1351824179,26723,BME280,27.37,1005.67,63.263
2026-05-22 16:44:45.923,1351825379,26923,BME280,27.37,1005.67,63.263
2026-05-22 16:44:45.123,1351824579,27123,BME280,27.37,1005.67,63.263
2026-05-22 16:44:45.323,1351824779,27323,BME280,27.36,1005.66,63.355
2026-05-22 16:44:45.523,1351824979,27523,BME280,27.36,1005.66,63.355
2026-05-22 16:44:45.723,1351825179,27723,BME280,27.36,1005.66,63.355
2026-05-22 16:44:46.923,1351826379,27923,BME280,27.36,1005.66,63.355
2026-05-22 16:44:46.123,1351825579,28123,BME280,27.36,1005.66,63.355
2026-05-22 16:44:46.323,1351825779,28323,BME280,27.36,1005.68,63.18
2026-05-22 16:44:46.523,1351825979,28523,BME280,27.36,1005.68,63.18
2026-05-22 16:44:46.723,1351826179,28723,BME280,27.36,1005.68,63.18
2026-05-22 16:44:47.923,1351827379,28923,BME280,27.36,1005.68,63.18
2026-05-22 16:44:47.123,1351826579,29123,BME280,27.36,1005.68,63.18
2026-05-22 16:44:47.323,1351826779,29323,BME280,27.36,1005.67,63.311
2026-05-22 16:44:47.523,1351826979,29523,BME280,27.36,1005.67,63.311
2026-05-22 16:44:47.723,1351827179,29723,BME280,27.36,1005.67,63.311
2026-05-22 16:44:48.923,1351828379,29923,BME280,27.36,1005.67,63.311
2026-05-22 16:44:48.123,1351827579,30123,BME280,27.36,1005.67,63.311
2026-05-22 16:44:48.323,1351827779,30323,BME280,27.36,1005.66,63.355
2026-05-22 16:44:48.523,1351827979,30523,BME280,27.36,1005.66,63.355
2026-05-22 16:44:48.723,1351828179,30723,BME280,27.36,1005.66,63.355
2026-05-22 16:44:49.923,1351829379,30923,BME280,27.36,1005.66,63.355
2026-05-22 16:44:49.123,1351828579,31123,BME280,27.36,1005.66,63.355
2026-05-22 16:44:49.323,1351828779,31323,BME280,27.36,1005.68,63.247
2026-05-22 16:44:49.523,1351828979,31523,BME280,27.36,1005.68,63.247
2026-05-22 16:44:49.723,1351829179,31723,BME280,27.36,1005.68,63.247
2026-05-22 16:44:50.923,1351830379,31923,BME280,27.36,1005.68,63.247
2026-05-22 16:44:50.123,1351829579,32123,BME280,27.36,1005.68,63.247
